resume_text,job_category
"Experienced Python developer with 3 years of experience in Django Flask REST API development. Proficient in Python pandas numpy scikit-learn machine learning data analysis. Built web applications using PostgreSQL MySQL databases. Experience with Git Docker AWS deployment. Strong knowledge of OOP data structures algorithms.",Python Developer
"Python backend developer skilled in Flask Django FastAPI. Worked on REST APIs microservices architecture. Used PostgreSQL Redis celery for task queues. Knowledge of Docker Kubernetes CI/CD pipelines. Experience with unit testing pytest. Familiar with AWS Lambda S3 EC2.",Python Developer
"Software engineer with expertise in Python. Built data pipelines using pandas numpy. Experience in web scraping automation using BeautifulSoup Selenium. Developed REST APIs with Flask. Used MySQL SQLite databases. Knowledge of Git version control agile scrum methodology.",Python Developer
"Python developer with experience in Django ORM models views templates. Built RESTful APIs consumed by React frontend. Used Celery Redis for background tasks. PostgreSQL database design. Docker containerization. Unit testing with pytest coverage.",Python Developer
"Backend Python engineer. Experience building scalable APIs with FastAPI Django. Database design with PostgreSQL. Redis caching. Message queues with RabbitMQ. Deployed on AWS EC2 with nginx gunicorn. CI/CD with Jenkins GitHub Actions.",Python Developer
"Frontend developer with 4 years experience in React JavaScript. Built responsive web applications using React hooks Redux context API. Proficient in HTML CSS Bootstrap Tailwind. REST API integration with axios fetch. Git version control npm webpack.",Frontend Developer
"React developer skilled in building SPAs single page applications. Used React Router Redux Toolkit for state management. TypeScript for type safety. CSS modules styled components. Jest React Testing Library for unit tests. Agile development scrum.",Frontend Developer
"UI developer with experience in HTML CSS JavaScript React. Created pixel perfect responsive designs. Used Bootstrap Material UI component libraries. REST API integration. Git GitHub for version control. Basic knowledge of Node.js Express.",Frontend Developer
"Frontend engineer specializing in React Next.js. Built SEO friendly server side rendered applications. TypeScript Redux Saga for complex state. GraphQL Apollo client. CSS animations transitions. Performance optimization lazy loading code splitting.",Frontend Developer
"JavaScript React developer with TypeScript experience. Built dashboard applications with charts using recharts D3.js. REST API integration Redux for state management. CSS Grid Flexbox responsive design. Testing with Jest Enzyme.",Frontend Developer
"Data scientist with 3 years experience in machine learning deep learning. Proficient in Python scikit-learn TensorFlow PyTorch. Built classification regression clustering models. Data analysis with pandas numpy matplotlib seaborn. Experience with NLP text classification sentiment analysis.",Data Scientist
"ML engineer with expertise in building deploying machine learning models. Used scikit-learn XGBoost LightGBM for supervised learning. Deep learning with Keras TensorFlow. Feature engineering preprocessing pipelines. Model evaluation cross validation hyperparameter tuning.",Data Scientist
"Data scientist skilled in statistical analysis predictive modeling. Python R for analysis. Scikit-learn for machine learning. SQL for data extraction. Tableau Power BI for visualization. A/B testing hypothesis testing statistics.",Data Scientist
"Machine learning researcher with experience in NLP computer vision. Built transformer models BERT GPT fine tuning. OpenCV for image processing. PyTorch deep learning. Published research papers. Experience with Hugging Face datasets.",Data Scientist
"Data scientist with focus on business analytics. Python pandas SQL for data wrangling. Machine learning models for churn prediction fraud detection. Data visualization with matplotlib plotly. Experience with AWS SageMaker for model deployment.",Data Scientist
"Java developer with 5 years experience in Spring Boot microservices. Built enterprise applications using Spring MVC Spring Security Spring Data JPA. Hibernate ORM MySQL Oracle databases. RESTful web services. Maven Gradle build tools. JUnit Mockito testing.",Java Developer
"Senior Java engineer experienced in Spring Framework Spring Boot REST APIs. Microservices architecture with Docker Kubernetes. Message queues with Kafka RabbitMQ. MySQL PostgreSQL databases. Redis caching. CI/CD Jenkins pipeline. Agile methodology.",Java Developer
